,Input,Target,Predicted,Edit Distance
0,aurobindo,அரோபிந்தோ,்்்்்்்்்்்்்்்்்்்்்்்்,23
1,pirandhana,பிறந்தன,்்்்்்்்்்்்்்்்்்்்்்்்,23
2,paantvitth,பாண்ட்விட்த்,்்்்்்்்்்்்்்்்்்்்்்்்,20
3,payanpaduththavillai,பயன்படுத்தவில்லை,்்்்்்்்்்்்்்்்்்்்்்்்,21
4,chithiraip,சித்திரைப்,்்்்்்்்்்்்்்்்்்்்்்்்,22
5,veetak,வேதக்,்்்்்்்்்்்்்்்்்்்்்்்்,23
6,veettirkuch,வீட்டிற்குச்,்்்்்்்்்்்்்்்்்்்்்்்்,21
7,seenivasa,சீனிவாச,்்்்்்்்்்்்்்்்்்்்்்்்,24
8,siridhalavu,சிறிதளவு,்்்்்்்்்்்்்்்்்்்்்்்்,24
9,parappazhavai,பரப்பளவை,்்்்்்்்்்்்்்்்்்்்்்்்,23
10,kaththirukkakudaathu,காத்திருக்ககூடாது,்்்்்்்்்்்்்்்்்்்்்்்்,22
11,magilchchiyaana,மகிழ்ச்சியான,்்்்்்்்்்்்்்்்்்்்்்்்,22
12,poarththukkeyar,போர்த்துக்கேயர்,்்்்்்்்்்்்்்்்்்்்்்்்,20
13,sambrathaaya,சம்பிரதாய,்்்்்்்்்்்்்்்்்்்்்்்்,23
14,grover,க்ரோவர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
15,caaminaathan,சாமிநாதன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
16,kidanta,கிடந்த,்்்்்்்்்்்்்்்்்்்்்்்்,23
17,neethu,நீது,்்்்்்்்்்்்்்்்்்்்்்்்,24
18,nirainthirunthanar,நிறைந்திருந்தனர்,்்்்்்்்்்்்்்்்்்்்்்்்,21
19,vimaanangalum,விமானங்களும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
20,beaverton,பெவெர்டன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
21,shipping,ஷிப்பிங்,்்்்்்்்்்்்்்்்்்்்்்்்,22
22,mudivilaa,முடிவிலா,்்்்்்்்்்்்்்்்்்்்்்்்,24
23,eeyaththagadu,ஈயத்தகடு,்்்்்்்்்்்்்்்்்்்்்்்்,23
24,miramar,மிரமர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
25,thirumaalin,திருமாலின்,்்்்்்்்்்்்்்்்்்்்்்்்,23
26,nulainthathu,நுழைந்தது,்்்்்்்்்்்்்்்்்்்்்்்்,23
27,tuurbauu,டர்போ,்்்்்்்்்்்்்்்்்்்்்்்்,23
28,piranthullathu,பிறந்துள்ளது,்்்்்்்்்்்்்்்்்்்்்்்்,22
29,nunmai,நுண்மை,்்்்்்்்்்்்்்்்்்்்்்்்,23
30,aalosanai,ஆலோசானை,்்்்்்்்்்்்்்்்்்்்்்்்,24
31,tamizhaiyum,தமிழையும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
32,sarwar,சர்வர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
33,piranthapoothu,பிறந்தபோது,்்்்்்்்்்்்்்்்்்்்்்்்,23
34,malargalil,மலர்களில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
35,avarkalinaal,அவர்களினால்,்்்்்்்்்்்்்்்்்்்்்்்்,22
36,becqy,பெக்கி,்்்்்்்்்்்்்்்்்்்்்்்்,23
37,vazhangkunar,வழங்குநர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
38,vaanggappadum,வாங்கப்படும்,்்்்்்்்்்்்்்்்்்்்்்்்,21
39,shores,ஷோர்ஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,22
40,siraaj,சிராஜ்,்்்்்்்்்்்்்்்்்்்்்்்்,23
41,neeroattaththin,நீரோட்டத்தின்,்்்்்்்்்்்்்்்்்்்்்்்்,21
42,edhirkkatchi,எதிர்க்கட்சி,்்்்்்்்்்்்்்்்்்்்்்்்,21
43,majeed,மஜீத்,்்்்்்்்்்்்்்்்்்்்்்்்,23
44,peyaroa,பெயரோ,்்்்்்்்்்்்்்்்்்்்்்்்,24
45,panithan,பணித்தான்,்்்்்்்்்்்்்்்்்்்்்்்்,22
46,atul,அதுல்,்்்்்்்்்்்்்்்்்்்்்்்்,23
47,vimaanangalin,விமானங்களின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
48,chozhargalukku,சோழர்களுக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,22
49,udaipur,உதய்புர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
50,eenoo,ஏனோ,்்்்்்்்்்்்்்்்்்்்்்்்,24
51,media,மீடியா,்்்்்்்்்்்்்்்்்்்்்்்்,24
52,vangiyaalargaludanaana,வங்கியாளர்களுடனான,்்்்்்்்்்்்்்்்்்்்்்்்,22
